( micro ) habitats | RESOURCE
coastal and deep - water systems | RESOURCE
coastal and estuarine areas | LOCATION
coastal and inland wetland areas | LOCATION
coastal and island - based municipalities | LOCATION
coastal and open areas | LOCATION
coastal animals | RESOURCE
coastal anthroposcapes | RESOURCE
coastal aquaculture | PROCESS
coastal aquifer systems | RESOURCE
coastal aquifer | RESOURCE
coastal aquifers | RESOURCE
coastal area | LOCATION
coastal area | RESOURCE
coastal areas | LOCATION
coastal areas | RESOURCE
coastal belt | LOCATION
coastal bioengineering | PROCESS
coastal biosphere reserve | RESOURCE
coastal block | RESOURCE
coastal boundary fault | LOCATION
coastal cattail Typha litoralis | RESOURCE
coastal caves | RESOURCE
coastal change adaptation policies | RESOURCE
coastal change areas | LOCATION
coastal change areas | RESOURCE
coastal change | PROCESS
coastal change | QUALITY
coastal changes | PROCESS
coastal characterization | PROCESS
coastal cities | LOCATION
coastal cities | RESOURCE
coastal clean index ( CCI ) | QUALITY
coastal cliffs | RESOURCE
coastal communities | ACTOR
coastal conditions | QUALITY
coastal convergence | PROCESS
coastal current | PROCESS
coastal cyclonic eddy | PROCESS
coastal defence structures | RESOURCE
coastal defense | PROCESS
coastal disasters | PROCESS
coastal distribution | QUALITY
coastal ecological processes | PROCESS
coastal ecosystem | RESOURCE
coastal ecosystems | RESOURCE
coastal engineering design | RESOURCE
coastal engineering | PROCESS
coastal environment management | PROCESS
coastal environment | RESOURCE
coastal environments | RESOURCE
coastal equipment | RESOURCE
coastal erosion | PROCESS
coastal erosions | PROCESS
coastal eutrophication | PROCESS
coastal evolution | PROCESS
coastal flooding | PROCESS
coastal floods | PROCESS
coastal food web | QUALITY
coastal forest | RESOURCE
coastal fragmentation | PROCESS
coastal freshwater springs | RESOURCE
coastal fringes | LOCATION
coastal habitat types | QUALITY
coastal habitat | RESOURCE
coastal habitats | RESOURCE
coastal hazards policy | RESOURCE
coastal health and wellness tourism | PROCESS
coastal hydrodynarnic | PROCESS
coastal karst aquifers | RESOURCE
coastal lagoons | RESOURCE
coastal lakes | LOCATION
coastal land subsidence | PROCESS
coastal land use development | PROCESS
coastal land | RESOURCE
coastal landscapes | RESOURCE
coastal linear infrastructure | RESOURCE
coastal litter | RESOURCE
coastal management strategies | RESOURCE
coastal management | PROCESS
coastal managers | ACTOR
coastal marine areas | LOCATION
coastal marine ecosystems | RESOURCE
coastal marine organisms | ACTOR
coastal marine species | ACTOR
coastal marshes | RESOURCE
coastal natural hazard mitigation policies | RESOURCE
coastal natural hazard | PROCESS
coastal observing systems | RESOURCE
coastal palaeo - environments | RESOURCE
coastal peatland | LOCATION
coastal peatlands | LOCATION
coastal plain mires | LOCATION
coastal plain setting | QUALITY
coastal plain | LOCATION
coastal plains | RESOURCE
coastal planning authorities | ACTOR
coastal planning | PROCESS
coastal plant species | RESOURCE
coastal plume water | RESOURCE
coastal plume | PROCESS
coastal population growth | PROCESS
coastal population | ACTOR
coastal processes | PROCESS
coastal protection | PROCESS
coastal protective works | PROCESS
coastal rainfall | PROCESS
coastal region | LOCATION
coastal regions | LOCATION
coastal research | PROCESS
coastal resilience | PROCESS
coastal resilience | QUALITY
coastal resource use conflicts | PROCESS
coastal resources | RESOURCE
coastal response | PROCESS
coastal retreat | PROCESS
coastal risk management | PROCESS
coastal risks | QUALITY
coastal salt marshes | RESOURCE
coastal sediment subsidence | PROCESS
coastal sediments | RESOURCE
coastal shark | ACTOR
coastal sites | LOCATION
coastal societies | ACTOR
coastal soil | RESOURCE
coastal species | ACTOR
coastal stability | QUALITY
coastal storm surge flooding | PROCESS
coastal storms | PROCESS
coastal stretches | LOCATION
coastal strips | LOCATION
coastal structures | RESOURCE
coastal studies | RESOURCE
coastal subsidence | PROCESS
coastal system | RESOURCE
coastal tailwater | RESOURCE
coastal topsoil | RESOURCE
coastal upwelling | PROCESS
coastal urban centers | LOCATION
coastal urbanized areas | LOCATION
coastal use | PROCESS
coastal vulnerability assessment | PROCESS
coastal vulnerability | QUALITY
coastal water management | PROCESS
coastal waters | LOCATION
coastal waters | RESOURCE
coastal wetland loss | QUALITY
coastal wetlands | RESOURCE
coastal zone | LOCATION
coastal zones | LOCATION
coastal | LOCATION
coastal | QUALITY
coastline resources | RESOURCE
coastline | LOCATION
coastline | RESOURCE
coastlines | LOCATION
coasts | LOCATION
coasts | RESOURCE
cohesive sediment | RESOURCE
coho and chinook salmon | RESOURCE
cold spots | LOCATION
cold spots | QUALITY
cold vortex | PROCESS
cold water | RESOURCE
collaboration | PROCESS
combined effects | PROCESS
combustion | PROCESS
commercial and economic fortunes | RESOURCE
commercial by - catch | PROCESS
commercial finishing | PROCESS
commercial fish catches | RESOURCE
commercial values | QUALITY
commercial | QUALITY
commercially harvested | PROCESS
common carp | ACTOR
common garra | ACTOR
common guillemot | ACTOR
communities | ACTOR
communities | RESOURCE
community - based information systems | RESOURCE
community - based mangrove reforestation | PROCESS
community assemblage | RESOURCE
community based field projects | RESOURCE
community composition | QUALITY
community preparedness | QUALITY
community structure | QUALITY
community | ACTOR
community | RESOURCE
companies | ACTOR
competing uses | PROCESS
competition | PROCESS
competitive advantages | RESOURCE
composition | QUALITY
compositions | QUALITY
compound flood | PROCESS
compounds | RESOURCE
concentration factor | QUALITY
concentration of total PAHs | QUALITY
concentration | QUALITY
concentrations | QUALITY
concrete structures | RESOURCE
configuration | QUALITY
confined coastal areas | LOCATION
conflict of interests | PROCESS
conflict | PROCESS
conflicting interests | PROCESS
conflicts | PROCESS
congenital and immunological associations | PROCESS
connectivity suitability | QUALITY
connectivity | QUALITY
conopeum | QUALITY
conservation strategies | RESOURCE
conservation strategy | RESOURCE
conservation | PROCESS
consortia managing local | RESOURCE
consortium | RESOURCE
constructed wetlands | RESOURCE
construction aggregate | RESOURCE
construction land | RESOURCE
construction | PROCESS
constructional morphology | QUALITY
constructions | RESOURCE
consumers | ACTOR
consumption of fossil fuels | PROCESS
consumption | PROCESS
contagious distribution | QUALITY
contaminant discharges | PROCESS
contaminant | RESOURCE
contaminants | RESOURCE
contaminated coastal area | QUALITY
contaminated coastal areas | LOCATION
contaminated materials | RESOURCE
contaminated water bodies | QUALITY
contaminated | QUALITY
contamination level | QUALITY
contamination | PROCESS
content | QUALITY
continental areas | LOCATION
continental inputs | RESOURCE
continental lithosphere | RESOURCE
continental margin | LOCATION
continental plate | RESOURCE
continental shelf | LOCATION
continental | LOCATION
control | PROCESS
control | RESOURCE
conversion of hot metal into steel | PROCESS
cool phase | PROCESS
cooling | PROCESS
cooperation | QUALITY
coordinated measures | RESOURCE
copepods | ACTOR
copper | RESOURCE
coral building fauna | ACTOR
coral recruits | ACTOR
coral reefs | RESOURCE
coral spawning | PROCESS
corals | ACTOR
corixid | ACTOR
corridors | LOCATION
corrosion resistance | QUALITY
corrosion | PROCESS
cortex | RESOURCE
cosmetics | ACTOR
cosmopolitan plant species | RESOURCE
cosmopolitan species | RESOURCE
cost - effective | QUALITY
cost effective | QUALITY
cost lessening | PROCESS
cost | QUALITY
costs | QUALITY
countries | ACTOR
countries | LOCATION
country | ACTOR
country | LOCATION
coupling coordination degree ( CCD ) | QUALITY
cover | RESOURCE
cow and frilled sharks | ACTOR
crab | RESOURCE
crabs | ACTOR
crabs | RESOURCE
crankcase oil | RESOURCE
creation | PROCESS
criminal legal liability | QUALITY
crinoids | RESOURCE
critical conditions | PROCESS
crop production | PROCESS
crop | RESOURCE
croplands | RESOURCE
crucian carp | ACTOR
crude oil | RESOURCE
crustaceans | ACTOR
cryptogam - dominated zonation patterns | QUALITY
cultural aspects | QUALITY
cultural benefits | RESOURCE
cultural ecosystem services ( CES ) | RESOURCE
culture model | RESOURCE
culture models | RESOURCE
cultured fish | RESOURCE
current - use pesticides ( CUPs ) | RESOURCE
current - use pesticides | RESOURCE
current climate | QUALITY
current regime | QUALITY
current | PROCESS
cuttlefish | RESOURCE
cyanobacteria | RESOURCE
cycling of nutrients | PROCESS
cyclones | PROCESS
cytokinins | RESOURCE
cytolysis | PROCESS
daily consumption | PROCESS
daily exposure | QUALITY
daily growth rate ( DGR ) | QUALITY
dam reservoirs | RESOURCE
damage evaluation | PROCESS
damage | PROCESS
damage | QUALITY
damages | PROCESS
damping force | PROCESS
damping | PROCESS
dams | LOCATION
dams | RESOURCE
damselfish | ACTOR
daphnid | RESOURCE
daphnids | RESOURCE
daphniids | RESOURCE
data | RESOURCE
database | RESOURCE
dataset | RESOURCE
datasets | RESOURCE
de - naturalization | PROCESS
death toll | QUALITY
death | PROCESS
debris | RESOURCE
decapods | ACTOR
decision - makers | ACTOR
decision - making body | ACTOR
decision makers | ACTOR
decision making | PROCESS
decision management system | RESOURCE
decision support system ( DSS ) | RESOURCE
declines | PROCESS
decomposition - enhancing studies | RESOURCE
decomposition | PROCESS
decreasing seaward | PROCESS
deep - water | LOCATION
deep - water | RESOURCE
deep geosphere | RESOURCE
deep ocean | LOCATION
deep sea of China | LOCATION
deeper groundwater system | RESOURCE
deeper groundwater | RESOURCE
deeper locations | LOCATION
deeper saline groundwater | RESOURCE
deformation | PROCESS
degradation | PROCESS
deicing salt | RESOURCE
delineation of erosion extents | PROCESS
delta drainage basin area | LOCATION
delta | RESOURCE
deltaic landscape | RESOURCE
deltaic plain land | RESOURCE
demand | PROCESS
demersal fishes | ACTOR
demersal habitats | RESOURCE
demersal | RESOURCE
denitrification ( DNF ) | PROCESS
dense granules | QUALITY
dense populations | QUALITY
densely populated | QUALITY
densely settling | QUALITY
densities | QUALITY
density | QUALITY
denudation | PROCESS
depleted radiocarbon | RESOURCE
depleted | QUALITY
deployment | PROCESS
deposit | RESOURCE
deposition - dominated downstream areas | LOCATION
deposition zones | LOCATION
deposition | PROCESS
depositional environment | RESOURCE
depositional pattern | QUALITY
depositional | PROCESS
deposits | RESOURCE
depression | RESOURCE
depth - related factors | QUALITY
depth range | QUALITY
depth | QUALITY
depths | QUALITY
dereliction | PROCESS
desertic | QUALITY
desiccation | PROCESS
design documentation | RESOURCE
design | PROCESS
design | QUALITY
designs | QUALITY
detach | PROCESS
detection distance | QUALITY
detection limit | QUALITY
detection | PROCESS
deteriorated | PROCESS
deterioration | PROCESS
determinants | QUALITY
detrimental effects | PROCESS
detrital particle dynamics | PROCESS
detrital particles | RESOURCE
detritus aggregates | RESOURCE
devastation | PROCESS
developed and developing country | ACTOR
developing countries | ACTOR
developing | PROCESS
development activities | PROCESS
development banks | ACTOR
development patterns | QUALITY
development planning policies | RESOURCE
development planning | PROCESS
development projects | RESOURCE
development strategy | RESOURCE
development | PROCESS
developmental planning | PROCESS
developments issues | QUALITY
developments | PROCESS
dewatering | PROCESS
dfrA13 | RESOURCE
diachronous unit | QUALITY
diagenetic transformations | PROCESS
diameter | QUALITY
diatom assemblage | RESOURCE
diatom assemblages | RESOURCE
diatom species | RESOURCE
diatoms | ACTOR
diatoms | RESOURCE
dibenzo | RESOURCE
dibutylin ( DBT ) | RESOURCE
diet | QUALITY
dietary exposure | PROCESS
dietary | QUALITY
diets | QUALITY
diffuse | PROCESS
diffusion | PROCESS
dikes | RESOURCE
diminishing | PROCESS
dimorphic species | ACTOR
dinoflagellates | ACTOR
dinoflagellates | RESOURCE
dioxin abatement measures | RESOURCE
dioxin levels | QUALITY
dioxin | RESOURCE
dioxins | RESOURCE
direct conservation | PROCESS
direct surface runoff | PROCESS
disaster - resilient village | LOCATION
disaster management | PROCESS
disaster mitigation | PROCESS
disaster prevention | PROCESS
disaster resilience | PROCESS
disaster risk reduction institutions | ACTOR
disaster risk reduction | PROCESS
disaster risks | QUALITY
disaster | PROCESS
disasters | PROCESS
discard rates | QUALITY
discarding | PROCESS
discards | PROCESS
discharge area | LOCATION
discharge | PROCESS
diseases | PROCESS
disintegrin | RESOURCE
dispersal | PROCESS
dispersion | PROCESS
displacement | PROCESS
disposable plastics | RESOURCE
disposal | PROCESS
disposal | QUALITY
disservices | RESOURCE
dissolved Mn | QUALITY
dissolved SiO2 | RESOURCE
dissolved inorganic carbon ( DIC ) | RESOURCE
dissolved inorganic nitrogen | RESOURCE
dissolved inorganic phosphorus | RESOURCE
dissolved nitrogen | RESOURCE
dissolved organic material | RESOURCE
dissolved oxygen | RESOURCE
dissolved silicon content | QUALITY
distal part | RESOURCE
distance | QUALITY
distinct clades | QUALITY
distribution pattern | QUALITY
distribution ranges | QUALITY
distribution | PROCESS
distribution | QUALITY
distributions | QUALITY
disturbance | PROCESS
disturbances | PROCESS
ditch | RESOURCE
diversion | PROCESS
diversity | QUALITY
diving | PROCESS
dolphin watching tourism | PROCESS
dominance | QUALITY
dominant land use types | QUALITY
dominant phase | PROCESS
dominant species | QUALITY
downstream movements | PROCESS
downstream waters | LOCATION
downstream | LOCATION
drainage area | LOCATION
drainage ditch | RESOURCE
drainage ditches | RESOURCE
drainage network | RESOURCE
drainage | PROCESS
drawdown | PROCESS
drawdowns | PROCESS
dredged areas | LOCATION
dredged region | LOCATION
dredging shoals | PROCESS
dredging | PROCESS
drilling | PROCESS
drinking water | RESOURCE
drivers of changes | QUALITY
drivers of risk | QUALITY
dry conditions | QUALITY
dry density | QUALITY
dry sand surface | RESOURCE
dry weight | QUALITY
duct | PROCESS
dune dike | RESOURCE
dune grasslands | RESOURCE
dune | RESOURCE
dunes | RESOURCE
durability | QUALITY
dusky grouper | ACTOR
dustfall | PROCESS
dynamic photoinhibition | PROCESS
dynamic | QUALITY
early life | QUALITY
early warning model | RESOURCE
early warning system | RESOURCE
early warning | PROCESS
earlyinstar larvae | ACTOR
earthquake | PROCESS
earthquakes | PROCESS
eastern and western parts of Zhongshan City | LOCATION
ebb | PROCESS
echinoid | RESOURCE
echinolampadoids | RESOURCE
eco - friendliness | QUALITY
eco - friendly | QUALITY
eco - sensitive areas | RESOURCE
eco - tourism | PROCESS
eco - toxicological risks | QUALITY
ecological capacity | QUALITY
ecological cities | RESOURCE
ecological communities | RESOURCE
ecological conditions | QUALITY
ecological connectivity | QUALITY
ecological environment management | PROCESS
ecological environment | RESOURCE
ecological environments | RESOURCE
ecological function | QUALITY
ecological functional classification | QUALITY
ecological goods and services | RESOURCE
ecological impacts | PROCESS
ecological impacts | QUALITY
ecological integrity | QUALITY
ecological monitoring | PROCESS
ecological preservation | PROCESS
ecological principles | QUALITY
ecological processes | PROCESS
ecological quality | QUALITY
ecological repercussions | PROCESS
ecological restoration | PROCESS
ecological risk assessment | PROCESS
ecological sciences | RESOURCE
ecological status | RESOURCE
ecological values | QUALITY
ecological vulnerability | QUALITY
ecology | QUALITY
ecology | RESOURCE
economic - activity | PROCESS
economic activities | PROCESS
economic activity | PROCESS
economic activity | QUALITY
economic and social development | PROCESS
economic benefits | QUALITY
economic costs | QUALITY
economic development level | QUALITY
economic development zone | LOCATION
economic development | PROCESS
economic drivers | QUALITY
economic implications | QUALITY
economic solution | QUALITY
economic zone | LOCATION
economic | PROCESS
economic | QUALITY
economies | QUALITY
economy | QUALITY
ecosystem balance | RESOURCE
ecosystem consequences | PROCESS
ecosystem conservation | PROCESS
ecosystem functioning | PROCESS
ecosystem functions | QUALITY
ecosystem problems | PROCESS
ecosystem processes | PROCESS
ecosystem restoration | PROCESS
ecosystem services | PROCESS
ecosystem services | RESOURCE
ecosystem | RESOURCE
ecosystems | RESOURCE
ecotypes | ACTOR
edaphic conditions | QUALITY
education | PROCESS
educational initiatives | QUALITY
effective life | QUALITY
effectiveness | QUALITY
efficiency | QUALITY
effluent emissions | PROCESS
effluent | RESOURCE
eggs | RESOURCE
electric steam power plants | RESOURCE
electrical conductivity ( EC ) | QUALITY
electrical conductivity | QUALITY
electricity generation | PROCESS
electronic equipment | RESOURCE
elevated coastal water levels | PROCESS
elevation | PROCESS
elevation | QUALITY
elongated loop | QUALITY
embayment | LOCATION
embayment | RESOURCE
embayments | LOCATION
embryo dune | RESOURCE
emergencies | PROCESS
emergency response decisions | PROCESS
emergent economies | QUALITY
emergent macrophytes | RESOURCE
emergent vegetation | QUALITY
emerging contaminants | RESOURCE
emissions | PROCESS
employment | PROCESS
employments offers | RESOURCE
encounter rates | QUALITY
encounters | PROCESS
encroachment | PROCESS
encrustation | PROCESS
end users | ACTOR
endangered areas | LOCATION
endangered species | RESOURCE
endangered | QUALITY
endemic fish species | QUALITY
endemic | QUALITY
endemism | QUALITY
energy crisis | PROCESS
energy cycles | PROCESS
energy flows | PROCESS
energy infrastructure | RESOURCE
energy production | PROCESS
energy transmission | PROCESS
energy | QUALITY
energy | RESOURCE
engineering methods | RESOURCE
engineering | PROCESS
engineers | ACTOR
enhanced UV - B radiation | PROCESS
enhanced capabilities | QUALITY
enlargement | PROCESS
enriched radiocarbon | RESOURCE
enrichment | PROCESS
envenomation | PROCESS
environment - dependent economy | QUALITY
environment conservation | PROCESS
environment problems | PROCESS
environment | RESOURCE
environmental UV variability | QUALITY
environmental and socio - economic policies | RESOURCE
environmental change | PROCESS
environmental changes | QUALITY
environmental conditions | QUALITY
environmental contamination | PROCESS
environmental degradation | PROCESS
environmental effects | PROCESS
environmental factor | QUALITY
environmental factors | QUALITY
environmental fluctuations | QUALITY
environmental hazards | PROCESS
environmental impact | QUALITY
environmental impacts | QUALITY
environmental improvements | PROCESS
environmental management | PROCESS
environmental monitoring | PROCESS
environmental parameters | QUALITY
environmental policies | RESOURCE
environmental pollutants | RESOURCE
environmental pollution | PROCESS
environmental pollutions | PROCESS
environmental pressures | PROCESS
environmental problems | PROCESS
environmental quality | QUALITY
environmental regulations | PROCESS
environmental requirements | QUALITY
environmental risk | QUALITY
environmental standards | QUALITY
environmental stressors | QUALITY
environmental variables | QUALITY
environmental variables | RESOURCE
environmental variation | PROCESS
environmentally - friendly | QUALITY
environments | RESOURCE
ephemerids | RESOURCE
ephippia | RESOURCE
ephyrae | ACTOR
epichnia | RESOURCE
epichnial traces | RESOURCE
epilithic biotope | RESOURCE
epiphytic algal cells | RESOURCE
epiphytic cover | RESOURCE
equilibrium profile | QUALITY
eroding | PROCESS
erosion - accretion | PROCESS
erosion - prone upstream source areas | LOCATION
erosion extent | PROCESS
erosion | PROCESS
erosive processes | PROCESS
eruptions | PROCESS
escaped farmed fish | ACTOR
escaped farmed salmon | RESOURCE
essential services | PROCESS
establishing | PROCESS
estuaries | LOCATION
estuaries | RESOURCE
estuarine / tidal flat | RESOURCE
estuarine ecosystems | RESOURCE
estuarine hydrodynamics | PROCESS
estuarine | LOCATION
estuarine | RESOURCE
estuary mouth | LOCATION
estuary | LOCATION
estuary | RESOURCE
ethylene | RESOURCE
eustatic sea - level curve | QUALITY
eustatic sea - level falls | PROCESS
eustatic sea level rise | PROCESS
eustatic | QUALITY
eutrophic shallow lake | LOCATION
eutrophic | QUALITY
eutrophication degree | QUALITY
eutrophication | PROCESS
evacuation priority | QUALITY
evacuation procedures | RESOURCE
evacuation | PROCESS
evaporation duct | PROCESS
evaporation | PROCESS
evolution | PROCESS
evolution | QUALITY
excavated rock | RESOURCE
excess feed | RESOURCE
excess sodium | QUALITY
exchanges | PROCESS
expansion | PROCESS
expensive | QUALITY
exploitation | PROCESS
exploration potential | QUALITY
export | QUALITY
exposed areas | LOCATION
exposed surface | LOCATION
exposure | PROCESS
extends landward | PROCESS
extension | PROCESS
extensive farming | PROCESS
extensive production systems | RESOURCE
extent | PROCESS
external environmental impact | PROCESS
external valve | RESOURCE
extirpation | PROCESS
extractive culture types | QUALITY
extreme events | PROCESS
extreme storm events | PROCESS
extreme weather events | PROCESS
extreme weather | PROCESS
extreme winds | PROCESS
factories | ACTOR
factors nature | QUALITY
factors | QUALITY
faecal sample | RESOURCE
faecal samples | RESOURCE
fall army worm ( FAW ) | ACTOR
falling sea levels | PROCESS
families | QUALITY
family residences | RESOURCE
family richness | QUALITY
farmed salmonids | RESOURCE
farmers | ACTOR
farming | PROCESS
farmland | RESOURCE
farmlands | RESOURCE
farms | RESOURCE
fate | QUALITY
fattening | PROCESS
fatty acid ( FA ) composition | QUALITY
fault zone | LOCATION
fault | RESOURCE
faulting activity | PROCESS
faulting | PROCESS
faults | RESOURCE
fauna | ACTOR
fauna | RESOURCE
fecal pellets | RESOURCE
fed culture types | QUALITY
federal jurisdiction | ACTOR
feed | PROCESS
feeding patterns | QUALITY
feeding | PROCESS
feedstock | RESOURCE
female | ACTOR
females | ACTOR
fertilizer application | PROCESS
fertilizers | RESOURCE
fetch - limited | QUALITY
field | RESOURCE
filament type | QUALITY
filamentous algal blooms | QUALITY
filamentous species | QUALITY
filter - feeding shellfish culture | PROCESS
filtering | PROCESS
filtration | PROCESS
financially unviable | QUALITY
fine - chemical industrial park | LOCATION
fine - grained sediments | RESOURCE
fine gravels | RESOURCE
fine material | RESOURCE
fine particles | RESOURCE
fine sediment | QUALITY
finest sediments | QUALITY
fish cage culture | PROCESS
fish communities | RESOURCE
fish distributions | QUALITY
fish fauna | ACTOR
fish gathering | PROCESS
fish habitat | RESOURCE
fish kills | PROCESS
fish population | RESOURCE
fish predation | PROCESS
fish productivity | QUALITY
fish recruitment | PROCESS
fish reductions | PROCESS
fish removal | PROCESS
fish removals | PROCESS
fish species | ACTOR
fish stock | RESOURCE
fish | ACTOR
fish | RESOURCE
fisheries | PROCESS
fishery resources | RESOURCE
fishery | PROCESS
fishery | RESOURCE
fishes | ACTOR
fishes | RESOURCE
fishing effort | PROCESS
fishing grounds | RESOURCE
fishing materials | RESOURCE
fishing pressure | PROCESS
fishing | PROCESS
fixed dune | RESOURCE
flamingoes | RESOURCE
flash floods | PROCESS
flashflood | PROCESS
flashfloods | PROCESS
flat lowlands | LOCATION
flathead mullet | ACTOR
flatworm | ACTOR
flexural subsidence | PROCESS
floR | RESOURCE
floating harbours | RESOURCE
floating structures | RESOURCE
floc | RESOURCE
flocculate | PROCESS
flocs | RESOURCE
flood control | PROCESS
flood prediction | PROCESS
flood water | RESOURCE
flood | PROCESS
flooded areas | LOCATION
flooded habitats | RESOURCE
flooding | PROCESS
floodplain | RESOURCE
floods | PROCESS
flora | RESOURCE
flourene | RESOURCE
flow | PROCESS
flows | PROCESS
fluctuations | PROCESS
fluoranthene | RESOURCE
flushing | PROCESS
fluvial discharges | PROCESS
fluvial dynamics | PROCESS
fluvial estuaries | RESOURCE
fluvial processes | PROCESS
fluvial sedimentation processes | PROCESS
fluvial | PROCESS
flux | PROCESS
fluxes | PROCESS
focusing | PROCESS
food abundance | QUALITY
food accessibility | QUALITY
food chain | QUALITY
food environment | RESOURCE
food import | PROCESS
food industry | ACTOR
food of inferior quality | QUALITY
food production systems | RESOURCE
food quality | QUALITY
food requirements | QUALITY
food resources | RESOURCE
food security | QUALITY
food source | RESOURCE
food web | QUALITY
food webs | QUALITY
food | RESOURCE
foodweb | QUALITY
forage | PROCESS
foraged | PROCESS
forager | ACTOR
foraminiferal assemblages | RESOURCE
forbs | RESOURCE
forced migration | PROCESS
forcing mechanisms | PROCESS
fore dune | RESOURCE
forearc zone | LOCATION
forecast accuracy | QUALITY
forecast scenarios | RESOURCE
forecasting information | RESOURCE
forecasting | PROCESS
forest communities | RESOURCE
forest land | RESOURCE
forest | RESOURCE
forestland area | LOCATION
forestland | RESOURCE
formation | PROCESS
fossil anomopod cladocerans | RESOURCE
fossil carbon | RESOURCE
fossil fuel | RESOURCE
fossil fuels | RESOURCE
fossils | RESOURCE
foundation species | ACTOR
fragmentation | PROCESS
framboidal pyrite | RESOURCE
framework | RESOURCE
free choice | QUALITY
freedom of choice | QUALITY
freezing | PROCESS
frequency harmonics | QUALITY
frequency | QUALITY
fresh groundwater | RESOURCE
fresh water | LOCATION
freshwater caves | LOCATION
freshwater fish | ACTOR
freshwater influx | PROCESS
freshwater management | PROCESS
freshwater mussel | ACTOR
freshwater populations | ACTOR
freshwater reservoir | RESOURCE
freshwater resources | RESOURCE
freshwater | LOCATION
freshwater | RESOURCE
friction force | PROCESS
friction pendulum bearing | RESOURCE
friction | PROCESS
fringes | RESOURCE
frontal zones | LOCATION
fuel | RESOURCE
fumes | PROCESS
functioning of ecosystems | PROCESS
funding | RESOURCE
gabbroids | RESOURCE
gabbros | RESOURCE
gametogenesis | QUALITY
garnet | RESOURCE
garra | ACTOR
gas field | RESOURCE
gas generation | PROCESS
gas | RESOURCE
gastrointestinal ( GI ) tracts | RESOURCE
gelatinous plankton | ACTOR
gelatinous zooplankton | ACTOR
gene flow | PROCESS
genera | QUALITY
general circulation | PROCESS
general pattern | PROCESS
generation | PROCESS
genetic diversity | QUALITY
genetic integrity | QUALITY
genus | ACTOR
genus | QUALITY
genus | RESOURCE
geo - accumulation index value ( Igeo ) | QUALITY
geo - hazard recognition | PROCESS
geochemical conditions | QUALITY
geochemical patterns | QUALITY
geochemistry | QUALITY
geochronology | QUALITY
geodynamics | QUALITY
geographic distance | QUALITY
geographical factors | QUALITY
geographical location | QUALITY
geographical locations | QUALITY
geography | QUALITY
geohazard assessment | PROCESS
geohazard chain | PROCESS
geohazards | PROCESS
geological conditions | QUALITY
geological setting | QUALITY
geological stratifications | RESOURCE
geometric properties | QUALITY
geomorphic connectivity | QUALITY
geomorphic processes | PROCESS
geomorphological processes | PROCESS
geomorphology | QUALITY
geospatial distribution | QUALITY
geosphere | RESOURCE
geotube | RESOURCE
gestation | PROCESS
gibberellins | RESOURCE
gillnet | RESOURCE
gillnets | RESOURCE
glaciotectonic deformations | PROCESS
global average | LOCATION
global climate change | PROCESS
global coastal management | PROCESS
global crisis | PROCESS
global distribution | QUALITY
global economic and social developments | PROCESS
global population | ACTOR
global regions | LOCATION
global temperature ( IPCC ) | QUALITY
global warming | PROCESS
gneiss | RESOURCE
good governance tool | RESOURCE
goods and services | RESOURCE
governance | PROCESS
government - subsidy - based incentive policy | RESOURCE
government directive | RESOURCE
government funding | PROCESS
government subsidy rate | QUALITY
governments | ACTOR
grain size ( clay ) sorting | PROCESS
grain size | QUALITY
grain texture | QUALITY
granite | RESOURCE
granites | RESOURCE
granitic boulders | RESOURCE
granitoids | RESOURCE
grass carp | ACTOR
grassland | RESOURCE
gravel | RESOURCE
gravity flows | PROCESS
grazing intensity | QUALITY
grazing pressure | PROCESS
grazing | PROCESS
great rivers ' floods | PROCESS
greater scaup | ACTOR
green algae | RESOURCE
green algal genera | QUALITY
green building | PROCESS
green buildings | RESOURCE
greenbelt | RESOURCE
greenhouse | RESOURCE
greening project | RESOURCE
groins | LOCATION
gross primary production ( GPP ) | PROCESS
ground foraging birds | ACTOR
groundwater - seawater interactions | PROCESS
groundwater - surface water ( GW - SW ) interaction | PROCESS
groundwater degradation | PROCESS
groundwater discharge | PROCESS
groundwater extraction | PROCESS
groundwater flux | PROCESS
groundwater management | PROCESS
groundwater pollution | PROCESS
groundwater pumping | PROCESS
groundwater quality | QUALITY
groundwater resources | RESOURCE
groundwater salinity | QUALITY
groundwater sources | RESOURCE
groundwater table depth | QUALITY
groundwater table | RESOURCE
groundwater | RESOURCE
group | ACTOR
groups | ACTOR
grow erectly | PROCESS
growing environment | RESOURCE
growing environments | RESOURCE
growth parameters | QUALITY
growth rate | QUALITY
growth rates | QUALITY
growth | PROCESS
growth | QUALITY
guided activity | PROCESS
gulf coast | LOCATION
gulf | LOCATION
gullies | RESOURCE
gulls | ACTOR
habitable | QUALITY
habitat - use | PROCESS
habitat and site fidelity | QUALITY
habitat change and loss | PROCESS
habitat conditions | QUALITY
habitat loss | PROCESS
habitat lost | PROCESS
habitat parameters | QUALITY
habitat preferences | QUALITY
habitat selection | PROCESS
habitat suitability | QUALITY
habitat type | QUALITY
habitat types | QUALITY
habitat | RESOURCE
habitats | RESOURCE
halophytic | QUALITY
harbor | RESOURCE
harbors | RESOURCE
harbour contribution | RESOURCE
harbours | LOCATION
hard - soft hybrid adaptation measures | QUALITY
hard adaptation measures | QUALITY
hard engineering | PROCESS
hard head catfish | RESOURCE
hard substrata | RESOURCE
