15N | RESOURCE
macrophyte cover | QUALITY
macrophytes | RESOURCE
macrophytoben - thos | RESOURCE
macrozoobenthic community | ACTOR
magnetite | RESOURCE
magnitude | QUALITY
mainland | LOCATION
maize growth stages | QUALITY
maize phenology | QUALITY
maize | RESOURCE
malignant tumor | PROCESS
malnutrition | PROCESS
mammal | ACTOR
man - made | QUALITY
management and prevention tools | RESOURCE
management strategies | RESOURCE
management | PROCESS
mangrove cover | QUALITY
mangrove detritus | RESOURCE
mangrove expansion | PROCESS
mangrove forests | RESOURCE
mangrove habitat | RESOURCE
mangrove soils | RESOURCE
mangrove system | RESOURCE
mangroves | RESOURCE
manmade climate changes | PROCESS
manufacture | PROCESS
manufacturing | PROCESS
mapping | PROCESS
marginal seas | LOCATION
mari - time route | RESOURCE
marine - originating foundation species | RESOURCE
marine and coastal resources | RESOURCE
marine bacteria | ACTOR
marine body | RESOURCE
marine caves | LOCATION
marine coastal areas | LOCATION
marine coastal environments | RESOURCE
marine current turbines ( MCT ) | RESOURCE
marine ecosystem | RESOURCE
marine ecosystems sustainability | QUALITY
marine environment | RESOURCE
marine environments | RESOURCE
marine geomorphic processes | PROCESS
marine habitat | RESOURCE
marine mammal fauna | ACTOR
marine mammals | ACTOR
marine organic carbon cycling | PROCESS
marine organisms | ACTOR
marine sedimentary rocks | RESOURCE
marine species | RESOURCE
marine tidal current energy | RESOURCE
marine | QUALITY
marineterrestrial transitional facies | QUALITY
maritime states of India | ACTOR
market prospect | RESOURCE
marsh habitat | RESOURCE
marsh | RESOURCE
marshes | RESOURCE
mass characteristics | QUALITY
mass movement | PROCESS
material transport flux | PROCESS
material | RESOURCE
materials | RESOURCE
mean annual biomass ( B ) | QUALITY
measures | RESOURCE
mechanism of PAHs | PROCESS
meiofaunal chydorids | ACTOR
melt - out | PROCESS
meso - predator release | PROCESS
mesocosms | RESOURCE
mesotrophic | QUALITY
metalloproteinase | RESOURCE
meteorological factors | QUALITY
methane | RESOURCE
method | RESOURCE
methods | RESOURCE
micas | RESOURCE
microbiota | RESOURCE
microboring assemblage | RESOURCE
microorganisms | ACTOR
microornaments | RESOURCE
microplastic | RESOURCE
microplastics | RESOURCE
mid - and downstream areas | LOCATION
mid - slope | LOCATION
middle area | LOCATION
migrate | PROCESS
migrates landward | PROCESS
migration pattern | QUALITY
migration routes | RESOURCE
migratory species | ACTOR
migratory | QUALITY
milkfish | RESOURCE
mineral composition | QUALITY
mineral deposits | RESOURCE
mineral reserves | RESOURCE
mineralogy | QUALITY
minerals | RESOURCE
minke | ACTOR
mite species | ACTOR
mitigation and adaptation strategies | RESOURCE
mitigation | PROCESS
mixed siliciclastic - carbonate rocks | RESOURCE
mixing | PROCESS
mobile application | RESOURCE
mobile phone | RESOURCE
mobile | RESOURCE
mobility | QUALITY
model performance | QUALITY
modifications of littoral zone | PROCESS
modifications | PROCESS
moistening | PROCESS
moisture | PROCESS
molecular iodine , I2 | RESOURCE
mollusc fauna | RESOURCE
mollusc | ACTOR
molluscs | RESOURCE
monitoring and early warning system | RESOURCE
monitoring programs | RESOURCE
monitoring | PROCESS
monobutylin ( MBT ) | RESOURCE
monoecious seagrass | QUALITY
monsoon | PROCESS
moraines | RESOURCE
morphodynamic development | PROCESS
morphodynamics | QUALITY
morphological characteristics | QUALITY
morphological evolution | PROCESS
morphometry | QUALITY
mortality rates | QUALITY
mortality | QUALITY
mosquito borne diseases | PROCESS
mudflat silting | PROCESS
mudstone | RESOURCE
mudstones | RESOURCE
multi - component waste | RESOURCE
multi - hazards | PROCESS
municipal landfill | RESOURCE
municipal sewage pipes | RESOURCE
municipalities | ACTOR
muricid species | ACTOR
mussel | ACTOR
mussels | ACTOR
myrtle rust affected areas | LOCATION
myrtle rust | ACTOR
naphthalene | RESOURCE
narwhal | ACTOR
national ICZM strategy | RESOURCE
national budget funds | RESOURCE
national policy | RESOURCE
national rice barn | RESOURCE
natural , unnatural acts | PROCESS
natural and anthropogenic factors | QUALITY
natural attenuation | PROCESS
natural development | PROCESS
natural disaster | PROCESS
natural ecosystem | RESOURCE
natural ecosystems | RESOURCE
natural fluctuations | QUALITY
natural habitat | RESOURCE
natural hazard | PROCESS
natural hazards | PROCESS
natural light | RESOURCE
natural organic matter | RESOURCE
natural pozzolan | RESOURCE
natural protectorates | RESOURCE
natural recharge | PROCESS
natural resources | RESOURCE
natural sources | RESOURCE
natural values | QUALITY
natural water level fluctuations | QUALITY
navigation paths | RESOURCE
navigational buoys | RESOURCE
near - bottom water | RESOURCE
near - bottom waters | RESOURCE
near - shore | LOCATION
nearshore | LOCATION
negative effect | PROCESS
negative effects | PROCESS
negative impact | QUALITY
net primary production | QUALITY
net production | QUALITY
new records | QUALITY
newts | ACTOR
nine - spined stickleback | RESOURCE
nitrate | RESOURCE
nitrite | RESOURCE
nitrogen inputs | RESOURCE
nitrogen isotope signature | QUALITY
nitrogen | RESOURCE
nitrous oxide | RESOURCE
no - LLJ type | QUALITY
non - cancer effects | PROCESS
non - cohesive sediment | RESOURCE
non - indigenous species | QUALITY
non - renewable | QUALITY
nonlinear components | RESOURCE
nonregulated | QUALITY
north | LOCATION
northern Sweden | LOCATION
northern bay | LOCATION
northward drift | PROCESS
northward transport | PROCESS
northwest Pacific Ocean | LOCATION
northwestern province | LOCATION
not used safely | QUALITY
number of children | QUALITY
nursery | RESOURCE
nutrient availability | QUALITY
nutrient concentrations | QUALITY
nutrient cycle | QUALITY
nutrient cycles | PROCESS
nutrient cycling | PROCESS
nutrient loading | PROCESS
nutrient pulse | PROCESS
nutrient pulses | RESOURCE
nutrients concentration | QUALITY
nutrients concentrations | QUALITY
nutrients supply | QUALITY
nutrients | RESOURCE
nutrition | PROCESS
occurrence | QUALITY
ocean resources | RESOURCE
ocean surface | RESOURCE
ocean | LOCATION
ocean | RESOURCE
oceanic circulation | PROCESS
oceanic regions | LOCATION
oceanographic | QUALITY
oceans | RESOURCE
offshore transport of Shelf Water | PROCESS
offshore wind energy utilization | PROCESS
offshore wind energy | RESOURCE
offshore wind farm wakes | PROCESS
offshore wind farms | RESOURCE
offshore | LOCATION
offspring | ACTOR
oil and gas exploitation | PROCESS
oil exploration | PROCESS
oil generation | PROCESS
oil spill pollution | PROCESS
oil spill | PROCESS
oil spills | PROCESS
oligotrophic lakes | LOCATION
oligotrophic littoral species | RESOURCE
oligotrophic | QUALITY
olivine | RESOURCE
ontogenetic shells | QUALITY
open - water taxa | RESOURCE
open ocean | LOCATION
operating conditions | QUALITY
operational effect variables | RESOURCE
orchards | RESOURCE
orders | QUALITY
ordinary Portland cement ( OPC ) | RESOURCE
organic carbon compounds | RESOURCE
organic carbon | RESOURCE
organic matter contents | QUALITY
organic matter | RESOURCE
organic nutrients | RESOURCE
organisms | ACTOR
organisms | RESOURCE
organizations | ACTOR
ornamental fish trading | PROCESS
orthopyroxene | RESOURCE
oscula | RESOURCE
outer shelf | LOCATION
outflow | RESOURCE
over - exploitation | PROCESS
over - fertilization | PROCESS
over - pumping | PROCESS
overexploitation | PROCESS
overflow | PROCESS
overturning circulation | PROCESS
oxbow lakes | RESOURCE
oxides | RESOURCE
oxygen concentrations | QUALITY
oxygen consumption | PROCESS
oxygen levels | QUALITY
oxygen saturation | QUALITY
oxytetracycline | RESOURCE
oyster reefs | RESOURCE
oyster | RESOURCE
oysters | RESOURCE
pCO2 | QUALITY
pH | QUALITY
pack to grainstones | RESOURCE
paleo - competitive release | PROCESS
paraglacial features | RESOURCE
parasequence | RESOURCE
parasequences | RESOURCE
parthenogenetic reproduction | PROCESS
partial pressure of CO2 ( pCO2 ) | QUALITY
particle size distribution | QUALITY
partition coefficients | QUALITY
passage | PROCESS
passive conservation policy | RESOURCE
passive margin | LOCATION
pathogenesis | PROCESS
pathogenic bacteria | ACTOR
patients | ACTOR
pelagic cladoceran taxa | RESOURCE
pelagic habitats | RESOURCE
pelagic | QUALITY
peninsula | LOCATION
people | ACTOR
perfluoroalkyl substances ( PFASs ) | RESOURCE
periodically monitored | PROCESS
periphyton grazers | ACTOR
permafrost | RESOURCE
persistence | QUALITY
persistent | QUALITY
perturbations | PROCESS
perylene | RESOURCE
pesticides | RESOURCE
petrochemical companies | ACTOR
petrochemical discharges | PROCESS
petrogenic PAHs | QUALITY
petroleum accumulation conditions | QUALITY
petroleum exploration | PROCESS
petroleum leaks | PROCESS
petroleum refineries | RESOURCE
phenanthrene | RESOURCE
phosphate | RESOURCE
phosphatic ooids | RESOURCE
phospholipase A2 | RESOURCE
phospholipase D Li Sic Tox beta IDI | RESOURCE
phosphorus | RESOURCE
photocatalytic degradation | PROCESS
photocatalytic processes | PROCESS
photosynthetic capacity | QUALITY
phylloids | RESOURCE
phylogeography | QUALITY
phylum | QUALITY
physical - biogeochemical processes | PROCESS
physical and psychological damage | PROCESS
physical damages | PROCESS
physical or chemical parameters | QUALITY
physical processes | PROCESS
physico - chemical factors | QUALITY
physico - chemical sedimentological system | RESOURCE
physicochemical conditions | QUALITY
physiological state | QUALITY
phytoplankton assemblages | RESOURCE
phytoplankton biodiversity and ecology | QUALITY
phytoplankton bloom | PROCESS
phytoplankton communities | RESOURCE
phytoplankton | RESOURCE
piedmontite | RESOURCE
pink , chum and sockeye | ACTOR
plankton community | RESOURCE
plankton | RESOURCE
planktonic cladocerans | ACTOR
planktonic diatoms | RESOURCE
planktonic larvae | ACTOR
planktotrophic larval development | PROCESS
planners | ACTOR
planning authorities | ACTOR
planning policy | RESOURCE
planning | PROCESS
plans | RESOURCE
plant and animal fossils | RESOURCE
plant communities | RESOURCE
plant families | RESOURCE
plant infestation | PROCESS
plant material | RESOURCE
plant | RESOURCE
plants mortality | QUALITY
plants | RESOURCE
plastic load | QUALITY
plastic particles | RESOURCE
plastics | RESOURCE
plate - like granite | QUALITY
plateau | RESOURCE
plates | RESOURCE
platform lowering | PROCESS
platform | RESOURCE
pluvial | QUALITY
poisonous species | QUALITY
policies | RESOURCE
policy improvements | PROCESS
policy | RESOURCE
policymakers | ACTOR
political acts | RESOURCE
pollutants | RESOURCE
polluted | QUALITY
pollution control | PROCESS
pollution hotspots | LOCATION
pollution load index ( PLI ) | QUALITY
pollution | PROCESS
polychaetes | ACTOR
polyculture farming area | LOCATION
polyculture | PROCESS
polymeric nanocomposite materials ( PNMs ) | RESOURCE
polymers | RESOURCE
polynuclear aromatic hydrocarbons ( PAHs ) | RESOURCE
poorly developed littoral zones | QUALITY
population dynamics | PROCESS
population flow | PROCESS
population growth | PROCESS
population structures | QUALITY
population | ACTOR
populations increase | QUALITY
populations | ACTOR
populations | RESOURCE
populous coastal region | LOCATION
porosity | QUALITY
porous aquifers | RESOURCE
port - city | RESOURCE
port activities | PROCESS
port facilities | RESOURCE
port gravity quay walls | RESOURCE
port quay wall | RESOURCE
port structures | RESOURCE
port | RESOURCE
positive effect | PROCESS
post - larval stage | QUALITY
post - rift evolution | PROCESS
post - smolts | ACTOR
postglacial walrus | ACTOR
potable water | RESOURCE
potential active surf conditions | QUALITY
potential impact | QUALITY
potential risk | QUALITY
power density | QUALITY
power struggles | PROCESS
power supply | PROCESS
power turbines | RESOURCE
pre - commercial MCT farm projects | PROCESS
precipitation | PROCESS
predation | PROCESS
predictability | QUALITY
prediction | PROCESS
predominant minerals | RESOURCE
predominant | QUALITY
preferential policies | RESOURCE
pregnant women | ACTOR
premature deterioration | QUALITY
preservation | PROCESS
preset water levels | QUALITY
pressure - driven surge | PROCESS
prevention | PROCESS
prey fish | RESOURCE
primary consumers | ACTOR
primary exposure | QUALITY
primary phytoplankton bio mass | QUALITY
primary producers | ACTOR
primary producers | RESOURCE
primary production | PROCESS
primary | QUALITY
priority | QUALITY
pro - active strategies | QUALITY
probability of the occurrence | QUALITY
process | PROCESS
production capacity | QUALITY
production parameters | QUALITY
production | PROCESS
productivity | QUALITY
products | RESOURCE
profile evolution | PROCESS
profile | QUALITY
profundal zone | LOCATION
project | RESOURCE
protected area | QUALITY
protected areas | RESOURCE
protection figure | ACTOR
protection techniques | RESOURCE
protection | PROCESS
protective cover | RESOURCE
proteolysis | PROCESS
prothrombin activator | RESOURCE
protozoans | RESOURCE
pseudocolonies | RESOURCE
psychological preparedness | PROCESS
public and civil society initiatives | PROCESS
public and private decision - makers | ACTOR
public health | QUALITY
pumping wells | RESOURCE
pumping | PROCESS
pumpkinseed sunfish | ACTOR
pumpkinseeds | ACTOR
putative Kunitz - type serine protease inhibitor | RESOURCE
pyrene | RESOURCE
quagga mussel | ACTOR
quagga mussels | ACTOR
r - selected life history strategies | QUALITY
radar | RESOURCE
radiocarbon | RESOURCE
rainfall accumulation | PROCESS
rainy | QUALITY
rate of risk | QUALITY
rate of sea - level rise | QUALITY
rate | QUALITY
rates in sea - level rise | QUALITY
rates of decomposition | QUALITY
rates of recession | QUALITY
raw materials | RESOURCE
raw seafood | RESOURCE
re - inundation | PROCESS
reactive oxygen species | RESOURCE
recession rates | QUALITY
recession | PROCESS
recharge | PROCESS
recommendations | RESOURCE
recovery planning | PROCESS
recovery | PROCESS
recreational fishers | ACTOR
recreational fishing | PROCESS
recreational land use | PROCESS
recreative value | QUALITY
recruits | QUALITY
recrystallised shells | QUALITY
red pulp sinuses | RESOURCE
red tides | PROCESS
reduction of suitable habitat | PROCESS
reduction | PROCESS
reductions | PROCESS
reedswamp | RESOURCE
reef - life structures | RESOURCE
reef - like structures | RESOURCE
reef associated fishery | PROCESS
reef slope | LOCATION
reef zone | LOCATION
reef zones | LOCATION
reef | RESOURCE
reefs | RESOURCE
refuge | RESOURCE
regional scale | LOCATION
regional uplift | PROCESS
regions of potential hazard | LOCATION
regions | LOCATION
regulating | PROCESS
regulation and policy framework | RESOURCE
regulation | PROCESS
regulations | PROCESS
regulatory agencies | ACTOR
regulatory limit | QUALITY
reject water | RESOURCE
relative biomass | QUALITY
relative penis length index ( RPLI ) | QUALITY
relative sea - level rises | PROCESS
relative sea level | QUALITY
released into seawater | PROCESS
remains | RESOURCE
remediation | PROCESS
remote areas | LOCATION
remote islands | QUALITY
renewable energy ( green energy ) based power generation | PROCESS
renewable energy ( green energy ) sources | RESOURCE
renewable energy exploitation | PROCESS
renewable ocean energy | RESOURCE
renewable power source | QUALITY
renewable | QUALITY
renewal rate ( P / B ) | QUALITY
replacement | PROCESS
replication times | QUALITY
reproductive and survivorship strategies | RESOURCE
reproductive biology | QUALITY
research project | RESOURCE
researchers | ACTOR
reservoir operation | PROCESS
reservoir | RESOURCE
reservoirs | RESOURCE
residence time | QUALITY
residence | PROCESS
resident populations | ACTOR
residential development | PROCESS
residents health | QUALITY
residents | ACTOR
resilience | PROCESS
resilient communities | QUALITY
resistance of steel | QUALITY
resistance | PROCESS
resistant garnet | RESOURCE
resonance | PROCESS
resource endowment characteristics | QUALITY
resources | RESOURCE
response | PROCESS
restoration measures | RESOURCE
restoration | PROCESS
restriction | PROCESS
restrictive measures | RESOURCE
resuspension | PROCESS
retention | PROCESS
retreat of active cliffs | PROCESS
retreat | PROCESS
retrogradational pattern | QUALITY
reworked regolith | RESOURCE
rheotrophic habitats | RESOURCE
rhizome | RESOURCE
ribbed mussel | ACTOR
rice fields | RESOURCE
ridge | RESOURCE
rift | RESOURCE
right of access to use | PROCESS
rings | RESOURCE
riodacites | RESOURCE
rising contamination | QUALITY
rising sea levels | PROCESS
risk assessment | PROCESS
risk management strategies | RESOURCE
risk management | PROCESS
risk mitigation or adaptation strategies | RESOURCE
risk mitigation | PROCESS
risk of exposure | QUALITY
risk of extinction | QUALITY
risk | QUALITY
risks and threats | PROCESS
risks | QUALITY
river flow | PROCESS
river mouths | LOCATION
river mouths | RESOURCE
river networks | RESOURCE
river regime | PROCESS
river system | RESOURCE
river terraces | RESOURCE
river valley | RESOURCE
river valleys | RESOURCE
river | RESOURCE
riverine / fluvial | QUALITY
riverine N output | RESOURCE
rivers | RESOURCE
roads | RESOURCE
rock | RESOURCE
rocky beach | RESOURCE
rocky habitats | RESOURCE
rocky intertidal region | LOCATION
rosette leafy shoot | QUALITY
roughness | QUALITY
route surveys | PROCESS
runoff | RESOURCE
rural area | LOCATION
safety | QUALITY
sags | RESOURCE
salinities | QUALITY
salinity changes | QUALITY
salinity dynamics | PROCESS
salinity fluctuation | QUALITY
salinity treatments | PROCESS
salinity | QUALITY
salt - tolerant vegetation | RESOURCE
salt concentration | QUALITY
salt formation edge | LOCATION
salt tide prevention | PROCESS
saltwater intrusion | PROCESS
samples | RESOURCE
sand encroachment | PROCESS
sand recovery | PROCESS
sand | RESOURCE
sandbar dunes | RESOURCE
sandstones | RESOURCE
sandy beaches | RESOURCE
sandy coastlines | RESOURCE
sandy soil cover | RESOURCE
sandy soils | RESOURCE
scale inhibition | PROCESS
scattering medium | QUALITY
science | RESOURCE
scleractinian corals | RESOURCE
sea - ice | RESOURCE
sea - level changes | QUALITY
sea - level fall | PROCESS
sea - level rise ( SLR ) | PROCESS
sea - level rise | PROCESS
sea - surface temperature | QUALITY
sea connection | QUALITY
sea level rise ( SLR ) | PROCESS
sea level rise | PROCESS
sea level | QUALITY
sea lice | ACTOR
sea louse | ACTOR
sea spatial planning | RESOURCE
sea surface layer | RESOURCE
sea surface pCO2 | QUALITY
sea surface temperature ( SST ) | QUALITY
sea surface | LOCATION
sea surface | RESOURCE
sea temperatures | QUALITY
sea urchins | ACTOR
sea urchins | RESOURCE
sea water | RESOURCE
sea | RESOURCE
seafood consumption rates | QUALITY
seafood consumption | PROCESS
seafood | RESOURCE
seafront | LOCATION
seagrass | RESOURCE
seas | LOCATION
seas | RESOURCE
seascape | RESOURCE
seasonal and spatial variability | QUALITY
seaward margin | RESOURCE
seaward margins | RESOURCE
seawater desalination plants | RESOURCE
seawater intrusion ( SWI ) | PROCESS
seawater intrusion | PROCESS
seawater retreat ( SWR ) | PROCESS
seawater temperature | QUALITY
seawater | RESOURCE
seaweed beds | RESOURCE
seaweed | RESOURCE
secondary production | PROCESS
secondary structures | RESOURCE
secondary | QUALITY
sedentary habit | QUALITY
sedentary | QUALITY
sedges | RESOURCE
sediment bed | RESOURCE
sediment characteristics and dynamics | PROCESS
sediment characteristics | QUALITY
sediment dynamics | PROCESS
sediment erosion | PROCESS
sediment flux | PROCESS
sediment formation and retention | PROCESS
sediment organic matter content | QUALITY
sediment oxygen demand | PROCESS
sediment particles | RESOURCE
sediment properties | QUALITY
sediment retention | PROCESS
sediment samples | RESOURCE
sediment stability | QUALITY
sediment stock | RESOURCE
sediment surface - samples | RESOURCE
sediment transport | PROCESS
sediment | RESOURCE
sedimentary balance | RESOURCE
sedimentary environment | RESOURCE
sedimentary or dynamic environment | RESOURCE
sedimentary process | PROCESS
sedimentary province | LOCATION
sedimentary units | RESOURCE
sedimentation | PROCESS
sedimentological factors | QUALITY
sedimentology | QUALITY
sediments | RESOURCE
seismic damage | PROCESS
seismic events | PROCESS
seismic performance | QUALITY
seismic vulnerability | QUALITY
selective erosion | PROCESS
semidiurnal tides ( M2 ) | PROCESS
sensitivity | QUALITY
sensor network | RESOURCE
separation | PROCESS
serine protease | RESOURCE
serpulid reefs | RESOURCE
serpulids | ACTOR
sessile bacteria | QUALITY
sessile invertebrates | RESOURCE
sessile organisms | RESOURCE
seston | ACTOR
set - back lines | RESOURCE
severity | QUALITY
sewage effluent | RESOURCE
sewage systems | RESOURCE
sewage | RESOURCE
shadow zone | QUALITY
shallow - water coastal area | LOCATION
shallow bay environment | RESOURCE
shallow coastal areas | QUALITY
shallow lakes | RESOURCE
shallow marine conditions | QUALITY
shallow water | LOCATION
shallowing - up successions | QUALITY
shapes | QUALITY
share of coastal organic matter | PROCESS
shark | ACTOR
shelf break | LOCATION
shelf | LOCATION
shell beds | RESOURCE
shell microstructures | RESOURCE
shell repair | PROCESS
ship - borne power receiving system | RESOURCE
ship berthing | PROCESS
ship traffic | PROCESS
shipping industry | ACTOR
shipping | PROCESS
shoot | RESOURCE
shore platform | RESOURCE
shore platforms | RESOURCE
shore power | RESOURCE
shore | LOCATION
shoreface environments | LOCATION
shoreline exposure | QUALITY
shorelines | RESOURCE
shores | LOCATION
short - term disasters | PROCESS
short chain compounds | QUALITY
shrimp | RESOURCE
silt | RESOURCE
siltation | PROCESS
sink of atmospheric CO2 | RESOURCE
sink | RESOURCE
sinkhole sites | LOCATION
sinkholes | RESOURCE
sinks | RESOURCE
site fidelity | QUALITY
siting | PROCESS
size distributions | QUALITY
size | QUALITY
sizes | QUALITY
slag - amended soil | QUALITY
slag treatments | PROCESS
slag | RESOURCE
slate mine | RESOURCE
slate | RESOURCE
slope processes | PROCESS
slope | QUALITY
slopes | QUALITY
small - bodied species | QUALITY
small - large bodied herbivorous | QUALITY
small size | QUALITY
social and institutional measures | RESOURCE
society | ACTOR
socio - economic losses | PROCESS
socio - economically vital | QUALITY
sociological characteristics | QUALITY
sodic soil | QUALITY
sodium montmorillonite platelets | RESOURCE
sodium | RESOURCE
soft adaptation measures | QUALITY
soft flysch deposits | RESOURCE
softwater lakes | RESOURCE
soil Exchangeable Sodium Percentage | QUALITY
soil acidification | PROCESS
soil amendment | RESOURCE
soil classes | QUALITY
soil distribution | QUALITY
soil formation and stability | PROCESS
soil liquefaction | PROCESS
soil pH | QUALITY
soil phases | QUALITY
soil properties | QUALITY
soil structure | QUALITY
soil water content ( SWC ) | QUALITY
soil | RESOURCE
soils | RESOURCE
solar PV technology | RESOURCE
solar | RESOURCE
solid waste | RESOURCE
solitonic nature | QUALITY
soluble substance | RESOURCE
sorption | PROCESS
source rock formation | PROCESS
source rocks | RESOURCE
sources of income | RESOURCE
sources | RESOURCE
south | LOCATION
southeastern province | LOCATION
southern China | LOCATION
southern bay | LOCATION
southern coast | LOCATION
southwards | LOCATION
space | RESOURCE
spatial and temporal scales | QUALITY
spatial and temporal variability | QUALITY
spatial differentiation | QUALITY
spatial distribution | QUALITY
spatial pattern | QUALITY
spatial structure | QUALITY
spatial variability | QUALITY
spatial variations | QUALITY
spawning habitat | PROCESS
spawning migration | PROCESS
special - purpose ROVs | RESOURCE
specialized applications | PROCESS
species composition | QUALITY
species diversity and biomass | QUALITY
species level | QUALITY
species prioritisation scheme | RESOURCE
species richness | QUALITY
species | ACTOR
species | RESOURCE
specific areas | LOCATION
specific effects | PROCESS
specimens | ACTOR
sphene | RESOURCE
splenic tumor | PROCESS
splenic vascular neoplasm | PROCESS
sponge | ACTOR
sponge | RESOURCE
sponges | RESOURCE
sporophytes | RESOURCE
spreading | PROCESS
stability | QUALITY
stabilization ponds | RESOURCE
stable nitrogen isotope ratio | QUALITY
standard length ( SL ) | QUALITY
standardized methods of study | QUALITY
standing crop of a living L . digitata bed | RESOURCE
staple food crops | RESOURCE
stasis hypothesis | QUALITY
state commissions | ACTOR
state legislature | ACTOR
stations | LOCATION
stations | RESOURCE
statutory local plans | QUALITY
steam | PROCESS
steep mountainous areas | LOCATION
stepwise transgression | PROCESS
stoichiometry | QUALITY
stones | RESOURCE
storage areas | LOCATION
storm - induced currents | PROCESS
storm surge | PROCESS
storm surges | PROCESS
storm | PROCESS
storminess | QUALITY
storms | PROCESS
stratification | PROCESS
stratiform rains | PROCESS
stream | LOCATION
streams | RESOURCE
strength | QUALITY
strip | RESOURCE
structural and physical measures | RESOURCE
structural integrity and reliability | QUALITY
structurally complex habitat | QUALITY
structure - controlled drainage system | RESOURCE
structure of food web | QUALITY
structures | RESOURCE
structuring effect | PROCESS
subarctic Pacific | LOCATION
subarctic lakes | LOCATION
subarctic lakes | RESOURCE
subarray - scale processes | PROCESS
submarine earthquakes | PROCESS
submarine landslides | PROCESS
submarine threat | PROCESS
submerged and floating - leaved plants | QUALITY
submersed degradation | PROCESS
subsidence | PROCESS
subsiding | PROCESS
substations | LOCATION
substrate stability | QUALITY
substrate | RESOURCE
subsurface sediments | RESOURCE
subsurface waters | RESOURCE
subtidal to deep - water reefs | RESOURCE
subtropical mountainous basin | QUALITY
succession | RESOURCE
successive parasequences | QUALITY
suitable habitat | QUALITY
suitable integrated coastal management | QUALITY
sulfachloropyridazine | RESOURCE
sulfamethoxazole | RESOURCE
sulfate rich environment | QUALITY
sun | RESOURCE
supply | PROCESS
surface area | QUALITY
surface elevation | PROCESS
surface magmatic rocks | QUALITY
surface processes | PROCESS
surface sediment samples | RESOURCE
surface sediment | RESOURCE
surface sediments | RESOURCE
surface water eutrophication | PROCESS
surface water | RESOURCE
surface waters | LOCATION
surface waters | RESOURCE
surge | PROCESS
surrounding area | LOCATION
suspended matter | RESOURCE
suspended particulate matter ( SPM ) | RESOURCE
suspended sediment concentration ( SSC ) | QUALITY
suspended solid loads | RESOURCE
sustainable coastal communities | QUALITY
sustainable coastal protection | PROCESS
sustainable development | PROCESS
sustainable groundwater management | PROCESS
sustainable | QUALITY
sustainably use | PROCESS
swamps | RESOURCE
swell and littoral drift changes | PROCESS
symbiotic crabs | ACTOR
symbiotic | QUALITY
synthetic wastewater | RESOURCE
system - wide effect | QUALITY
system - wide effects | QUALITY
systematic framework | RESOURCE
systems | RESOURCE
tag recoveries | RESOURCE
tapestries | RESOURCE
tar - ball | RESOURCE
tar - balls | RESOURCE
target species | RESOURCE
targeted fisheries | QUALITY
taxa | ACTOR
taxa | RESOURCE
taxon | RESOURCE
taxonomic descriptions | QUALITY
taxonomic groups | RESOURCE
taxonomic richness | QUALITY
taxonomic variety | QUALITY
technological upgrading | PROCESS
technologies | RESOURCE
technology | RESOURCE
tectonic activities | PROCESS
tectonic activity | PROCESS
tectonic events | PROCESS
tectonic subsidence | PROCESS
tectonics | PROCESS
temperate regions | LOCATION
temperate wetlands | RESOURCE
temperature | QUALITY
temperatures | QUALITY
temporal patterns | QUALITY
terrestrial inputs | RESOURCE
terrestrial melting | PROCESS
terrestrial sources | RESOURCE
terrestrial | QUALITY
terrigenous sediments | RESOURCE
terrigenous supply | PROCESS
tetracyclines | RESOURCE
thallus apex | RESOURCE
thermal evolution level | QUALITY
thermal regime | QUALITY
thermal zone | LOCATION
this area | LOCATION
three finger toxin | RESOURCE
tidal creek sandy mouths | LOCATION
tidal current power exploitation | PROCESS
tidal current resources | RESOURCE
tidal current turbine | RESOURCE
tidal current | PROCESS
tidal cycles | PROCESS
tidal energy resource | RESOURCE
tidal energy | RESOURCE
tidal frequencies | QUALITY
tidal inlets | LOCATION
tidal kinetic energy | RESOURCE
tidal movement | PROCESS
tidal power generation | PROCESS
tidal power station | RESOURCE
tidal resuspension | PROCESS
tidal turbine | RESOURCE
tidal | PROCESS
tidally energetic regions | LOCATION
tide - surge - river interaction | PROCESS
tide | PROCESS
tides | PROCESS
tim cytoplasm | RESOURCE
timber harvesting | PROCESS
time consuming | QUALITY
timescales | QUALITY
timing of recruitment | QUALITY
timing | QUALITY
tissue | RESOURCE
tissues | RESOURCE
toddlers | ACTOR
toe | RESOURCE
tolerance capacity | QUALITY
tolerance | QUALITY
toluene | RESOURCE
tomato yields | RESOURCE
tool | RESOURCE
top consumer | ACTOR
top consumers | ACTOR
top predators | ACTOR
topographies | QUALITY
torrents | RESOURCE
total ESV | QUALITY
total bacterioplankton | QUALITY
total concentrations | QUALITY
total dissolved salts | QUALITY
total macroinvertebrate abundance | QUALITY
total mercury content ( THg ) | QUALITY
total microbial population | QUALITY
total nitrogen | QUALITY
total petroleum hydrocarbon ( TPH ) | RESOURCE
total petroleum hydrocarbons ( TPH ) | RESOURCE
total phosphorus | QUALITY
total pollution load control | PROCESS
total seafood consumption | QUALITY
total surface area | QUALITY
tourism projects | PROCESS
tourism resources | RESOURCE
tourist destination | QUALITY
tourist development | PROCESS
tourist places | LOCATION
touristic and urban growth | PROCESS
touristic area | LOCATION
tourmaline | RESOURCE
toxic concentrations | QUALITY
toxic elements pollution | PROCESS
toxic substances | RESOURCE
toxicity | QUALITY
toxicological effects | PROCESS
toxin proteins | RESOURCE
