( micro ) habitats | RESOURCE
peak discharge | QUALITY
peak discharges | QUALITY
peak storm tides | PROCESS
peak tide | PROCESS
peak | RESOURCE
peaks | RESOURCE
peat | RESOURCE
peatland | LOCATION
peatland | RESOURCE
pebbles | RESOURCE
pebbly bottom | RESOURCE
pelagic ecosystem | RESOURCE
pelagic fish | ACTOR
pelagic | LOCATION
pelagic | QUALITY
people | ACTOR
peoples | ACTOR
perception | QUALITY
perch | ACTOR
performance | QUALITY
peripheral sites | RESOURCE
permeable beds | RESOURCE
persistence | QUALITY
pest control | PROCESS
pest | ACTOR
pesticides | RESOURCE
petrochemical reservoirs | RESOURCE
petroleum - derived carbon | RESOURCE
petrology | QUALITY
pharmaceutical products | RESOURCE
pharmaceuticals | ACTOR
phase lag | QUALITY
phenanthrene | RESOURCE
phenolic compounds | RESOURCE
phenolics | RESOURCE
phosphorus ( P ) | RESOURCE
photo - degradation | PROCESS
photoacclimation | PROCESS
photodamage | PROCESS
photoinhibition | PROCESS
photoprotective mechanism | RESOURCE
photoprotective strategies | RESOURCE
photoprotective strategy | RESOURCE
photosynthesis | PROCESS
photosynthetic pigments | RESOURCE
phylum | QUALITY
physical conditioners | QUALITY
physical disturbance | PROCESS
physical factors | QUALITY
physical impacts | QUALITY
physical properties | QUALITY
physical | QUALITY
physicochemical properties | QUALITY
physiological adaptation | PROCESS
physiological mechanisms | PROCESS
physiological state | QUALITY
phyto - monitoring | PROCESS
phytoextraction | PROCESS
phytohormones | RESOURCE
phytoplankton production | PROCESS
phytoplankton | RESOURCE
phytoremediation agents | ACTOR
phytoremediation | PROCESS
phytostabilization | PROCESS
piezometric level | QUALITY
pigmented leaf | RESOURCE
pigments | RESOURCE
piscivorous | QUALITY
piscivory | QUALITY
plaice | RESOURCE
planktivorous species | ACTOR
planktonic | RESOURCE
planning | PROCESS
plant - like organisms | RESOURCE
plant communities | RESOURCE
plant community composition | QUALITY
plant community | RESOURCE
plant growth | PROCESS
plant species richness | QUALITY
plant species | RESOURCE
plant | RESOURCE
planting | PROCESS
plants | RESOURCE
plastic contamination | PROCESS
plastic debris | RESOURCE
plastic particles | RESOURCE
plastic | RESOURCE
plastics | RESOURCE
plate | RESOURCE
plutonic suites | RESOURCE
pocket beaches | LOCATION
policies | RESOURCE
policy | RESOURCE
political dimensions | QUALITY
pollutant | RESOURCE
pollutants | RESOURCE
polluted areas | QUALITY
polluted waters | RESOURCE
pollution | PROCESS
polyculture | PROCESS
polycyclic aromatic hydrocarbons ( PAHs ) | RESOURCE
polyethylene terephthalate | RESOURCE
polyethylene | RESOURCE
polypropylene | RESOURCE
polysaccharides | RESOURCE
polystyrene | RESOURCE
polyvinyl chloride | RESOURCE
pond culture | PROCESS
pond effluent | RESOURCE
pond | RESOURCE
ponded | QUALITY
ponds | LOCATION
ponds | RESOURCE
pontoons | RESOURCE
populated areas | LOCATION
population density | QUALITY
population dynamics | PROCESS
population growth | PROCESS
population status | QUALITY
population structure | QUALITY
population | ACTOR
populations | ACTOR
port city | RESOURCE
ports | LOCATION
postlar - val | ACTOR
postlarvae | ACTOR
potential distribution | QUALITY
potential production | QUALITY
precipitation | PROCESS
predation | PROCESS
predictive scenarios | RESOURCE
presence | QUALITY
preservation | PROCESS
prevention | PROCESS
prey accessibility | QUALITY
prey fish | RESOURCE
prey | RESOURCE
primary production | PROCESS
primary sources | QUALITY
proactive measures | RESOURCE
production rate | QUALITY
production | PROCESS
production | QUALITY
productivity | QUALITY
profit | QUALITY
program | RESOURCE
programs | RESOURCE
prohibitions | PROCESS
projects | RESOURCE
property | RESOURCE
protect | PROCESS
protection structures | RESOURCE
protection | PROCESS
proteins | RESOURCE
protozooplankton | ACTOR
provenance | QUALITY
provinces | LOCATION
provision | PROCESS
provisions | PROCESS
proximity | QUALITY
public acceptance | QUALITY
public health | QUALITY
pulses | PROCESS
quality degradation | PROCESS
quality | QUALITY
quantity | QUALITY
radar | RESOURCE
radiocarbon depleted organic matter | RESOURCE
radiocarbon | RESOURCE
rainbow smelt | RESOURCE
rainbow trout | ACTOR
rainfall distribution | QUALITY
rainfall pattern | QUALITY
rainfall | PROCESS
rains | PROCESS
re - infiltration | PROCESS
reactivation | PROCESS
reactive nitrogen | RESOURCE
real estate | RESOURCE
rebar | RESOURCE
recharge | PROCESS
recolonized | PROCESS
recovery | PROCESS
recreational value | QUALITY
recreational | QUALITY
recruitment pattern | QUALITY
recruitment patterns | QUALITY
recruitment | PROCESS
recycling | PROCESS
red algae | RESOURCE
reduction | PROCESS
reductions | PROCESS
redundancy | QUALITY
refraction | PROCESS
regional regulations | RESOURCE
regions | LOCATION
regression planning | PROCESS
regular echinoids | QUALITY
regulating | PROCESS
regulatory measures | RESOURCE
rehabilitation | PROCESS
reinforced concrete ( RC ) structures | RESOURCE
relative abundance | QUALITY
relative sea - level rise ( rSLR ) | PROCESS
relative sea - level rising rates ( RSLRR ) | QUALITY
release | PROCESS
relocation | PROCESS
remineralization | PROCESS
removal | PROCESS
repopulation | PROCESS
repository site | RESOURCE
reproduction | PROCESS
reproductive period | PROCESS
requirements | QUALITY
research | PROCESS
reservoir | RESOURCE
reservoirs | LOCATION
reservoirs | RESOURCE
residence time | QUALITY
resilience | QUALITY
resistance | PROCESS
resort | RESOURCE
resource environment carrying capacity ( RECC ) | QUALITY
resource environment | RESOURCE
resource management strategies | RESOURCE
resource | RESOURCE
resources | RESOURCE
respiration | PROCESS
response strategies | RESOURCE
restoration of biodiversity | PROCESS
restricted access | QUALITY
retention | PROCESS
retreat | PROCESS
reverse effect | PROCESS
revetments | RESOURCE
reworking | PROCESS
rice | RESOURCE
ridgetail white shrimp | RESOURCE
rigid structures | RESOURCE
rills | RESOURCE
rip currents | PROCESS
rise in sea levels | PROCESS
risen by 24 cm | PROCESS
rising sea levels | PROCESS
risk reduction measures | RESOURCE
risk | QUALITY
risks | QUALITY
river - aquifer systems | RESOURCE
river channel | RESOURCE
river deltas | LOCATION
river floods | PROCESS
river plume | PROCESS
river plumes | PROCESS
river | RESOURCE
riverine floods | PROCESS
rivers | RESOURCE
roach | ACTOR
rock | RESOURCE
rocks | RESOURCE
rocky littoral system | LOCATION
rollback | PROCESS
root | RESOURCE
roots | RESOURCE
ruderals | QUALITY
safety assessment | PROCESS
safety barriers | RESOURCE
safety features | QUALITY
safety limit | QUALITY
safety | QUALITY
saline alkaline water | RESOURCE
saline areas | LOCATION
saline water | RESOURCE
saline wetlands | RESOURCE
saline | QUALITY
salinity ( SAL ) | QUALITY
salinity - increasing processes | PROCESS
salinity | QUALITY
salinization | PROCESS
salt - resistant plants | RESOURCE
salt content | QUALITY
salt fluxes | PROCESS
salt marsh vegetation | RESOURCE
salt | RESOURCE
salts | RESOURCE
saltwater interaction | PROCESS
saltwater intrusion | PROCESS
saltwater | RESOURCE
sample | RESOURCE
samples | RESOURCE
sand - mining sites | LOCATION
sand - mining | PROCESS
sand filled geotextile tubes ( geotubes ) | RESOURCE
sand mining | PROCESS
sand pits | RESOURCE
sand resources | RESOURCE
sand | RESOURCE
sands | RESOURCE
sandy geological materials | RESOURCE
sandy littoral | LOCATION
sapling | RESOURCE
scavenging activities | PROCESS
scavenging behavior | QUALITY
scenic value | QUALITY
school building | RESOURCE
science | RESOURCE
scientists | ACTOR
sea - level rise | PROCESS
sea - level | QUALITY
sea and brackish water quality | QUALITY
sea cucumber | RESOURCE
sea fisheries | RESOURCE
sea floor | LOCATION
sea floor | RESOURCE
sea ice loss | PROCESS
sea interface | LOCATION
sea level rise ( SLR ) | PROCESS
sea level rise | PROCESS
sea level | QUALITY
sea storms | PROCESS
sea surface | LOCATION
sea urchins | RESOURCE
sea | LOCATION
sea | RESOURCE
seabass | RESOURCE
seabird colonies | LOCATION
seabird disturbance | PROCESS
seabird populations | ACTOR
seabird | ACTOR
seabirds | ACTOR
seafood species | RESOURCE
seafood trade | PROCESS
seafood | RESOURCE
seagrass | RESOURCE
seagrasses | RESOURCE
seals | ACTOR
seas | RESOURCE
seascape ecology | RESOURCE
seasonal changes | QUALITY
seasonal pack ice cover | RESOURCE
seasonal variation | QUALITY
seawalls | RESOURCE
seawater aquaculture | PROCESS
seawater intrusion | PROCESS
seawater quality | QUALITY
seawater | RESOURCE
seawaters | LOCATION
seawaters | RESOURCE
seaweed farmers | ACTOR
seaweed farming | PROCESS
seaweed | RESOURCE
seaweeds | RESOURCE
secondary hardgrounds | RESOURCE
secondary metabolites | RESOURCE
secondary sources | QUALITY
sediment - starved littoral | LOCATION
sediment - transport | PROCESS
sediment - water interface | LOCATION
sediment accumulation | PROCESS
sediment delivery | PROCESS
sediment deposition | PROCESS
sediment mass accumulation | PROCESS
sediment mixing | PROCESS
sediment organic matter | RESOURCE
sediment processes | PROCESS
sediment relocation | PROCESS
sediment sequences | RESOURCE
sediment transport | PROCESS
sediment traps | RESOURCE
sediment type | QUALITY
sediment | RESOURCE
sedimentary successions | RESOURCE
sedimentation beach groundwater system | RESOURCE
sedimentation rate | QUALITY
sedimentation | PROCESS
sedimentologic facies | QUALITY
sediments | RESOURCE
seed dispersal | PROCESS
seedling | PROCESS
seedlings | RESOURCE
segmentation | PROCESS
segregation | PROCESS
seismic activity | PROCESS
seismic performance | QUALITY
seismically active | QUALITY
seismogenic structure | QUALITY
seismometers | RESOURCE
selection | PROCESS
semi - intensive shrimp farm systems ( SCS ) | RESOURCE
semisubmersible platforms | RESOURCE
sensible areas | QUALITY
sensitivity | QUALITY
services | RESOURCE
seston | RESOURCE
settling velocities | QUALITY
settling | PROCESS
sewage | RESOURCE
sex - ratio | QUALITY
sex | QUALITY
sexual dimorphism | QUALITY
shadow zone | QUALITY
shallow groundwater system | RESOURCE
shallow sea | RESOURCE
shallow sites | LOCATION
shallow water | QUALITY
shallow | QUALITY
shallower depths | QUALITY
shallower fresh groundwater | RESOURCE
shape | QUALITY
sharks | ACTOR
shelf area | LOCATION
shelf gradient | QUALITY
shelf | LOCATION
shelf | RESOURCE
shellfish | RESOURCE
ships | RESOURCE
shoal | RESOURCE
shoals | RESOURCE
shore protection | PROCESS
shore | LOCATION
shore | RESOURCE
shoreline changes | QUALITY
shoreline oscillations | PROCESS
shoreline works | PROCESS
shoreline | LOCATION
shoreline | RESOURCE
shorelines | LOCATION
short - distance force | PROCESS
short grass | RESOURCE
shortening | PROCESS
shrimp farming | PROCESS
shrimp industry | ACTOR
shrimp pond farming | PROCESS
shrimp | RESOURCE
shrubs | RESOURCE
silty bottom habitats | RESOURCE
silty sediments | RESOURCE
silviculture | PROCESS
simulation model | RESOURCE
simvastatin | RESOURCE
single - cell activity | PROCESS
sinking coast | PROCESS
sinks | RESOURCE
site - managers | ACTOR
sites | LOCATION
size groups | QUALITY
size | QUALITY
skills | RESOURCE
skincare products | RESOURCE
sliding displacement | PROCESS
slope failure | PROCESS
slope | QUALITY
slope | RESOURCE
small tidal inlets ( STIs ) | RESOURCE
smooth - coated otter | ACTOR
smooth - coated otters | ACTOR
snook | RESOURCE
snooks | RESOURCE
snowmelt | PROCESS
social and institutional dynamics | PROCESS
social needs | QUALITY
socio - economic implications | QUALITY
socioeconomic development | PROCESS
socioeconomic | QUALITY
soil erosion | PROCESS
soil nutrient | RESOURCE
soil productivity | QUALITY
soil properties | QUALITY
soil resources | RESOURCE
soil salinity | QUALITY
soil type | QUALITY
soil | RESOURCE
soils | RESOURCE
solar radiation | PROCESS
sorption | PROCESS
source | RESOURCE
sources | QUALITY
sources | RESOURCE
space limitations | QUALITY
spatangoid echinoids | RESOURCE
spatangoid | RESOURCE
spatial and seasonal distribution | QUALITY
spatial and temporal distribution | QUALITY
spatial decision - support tools | RESOURCE
spatial distribution | QUALITY
spatial imbalance | QUALITY
spatial interactions | PROCESS
spatial patterns | QUALITY
spatial scale | QUALITY
spatial units | LOCATION
spawning period | PROCESS
species - habitat relationships | PROCESS
species composition | QUALITY
species richness | QUALITY
species | ACTOR
species | RESOURCE
specimens | ACTOR
spice | RESOURCE
spicules | RESOURCE
spill | PROCESS
sprat stock | RESOURCE
sprat | ACTOR
spread | PROCESS
squids | RESOURCE
stability | QUALITY
stable isotope d15N | RESOURCE
stable isotopes | RESOURCE
stakeholders | ACTOR
stations | LOCATION
stations | RESOURCE
steep slope | RESOURCE
stems | RESOURCE
stoichiometry | QUALITY
stomachs | RESOURCE
storm surge | PROCESS
storm surges | PROCESS
storm tides | PROCESS
storm waves | PROCESS
storm | PROCESS
storms | PROCESS
stormwater | RESOURCE
strategies | RESOURCE
streams | RESOURCE
stress | PROCESS
stress | QUALITY
stressors | ACTOR
stressors | QUALITY
stria areola | RESOURCE
striped red mullet | RESOURCE
structural integrity | QUALITY
structure | QUALITY
structure | RESOURCE
structures | RESOURCE
studies | RESOURCE
sub - Arctic | LOCATION
sub - littoral fringe | LOCATION
subaqueous volcanic explosion | PROCESS
subaqueous volcanic explosions | PROCESS
subduction | PROCESS
sublittoral environments | RESOURCE
submarine GW discharge | PROCESS
submarine active faults | RESOURCE
submarine canyons | RESOURCE
submarine explosions | PROCESS
submarine groundwater discharge | PROCESS
submarine landslides | PROCESS
submarine | LOCATION
subsidence | PROCESS
substrate characteristics | QUALITY
substrate | RESOURCE
substrates | RESOURCE
subtidal | QUALITY
subtropical | QUALITY
suitability area | LOCATION
suitability | QUALITY
supplements | RESOURCE
supply and demand | PROCESS
supply | PROCESS
supra - littoral | LOCATION
surf zone | LOCATION
surface soil | RESOURCE
surface traces | RESOURCE
surface waterand | RESOURCE
surface waters | RESOURCE
surface | LOCATION
surveillance | PROCESS
survival rate | QUALITY
survival | QUALITY
suspended particulate matter ( SPM ) | RESOURCE
suspended sediment concentration ( SSC ) | QUALITY
sustainability | QUALITY
sustainable development | PROCESS
sustainable food production | PROCESS
sustainable resource management | PROCESS
sustenance | QUALITY
swamp | RESOURCE
swash zone processes | PROCESS
swash zone | LOCATION
swash | LOCATION
switchable damper | RESOURCE
switchable fluid damper | RESOURCE
swordtail | ACTOR
synergistic effect | PROCESS
synthetic debris | RESOURCE
synthetic micro - fibres | RESOURCE
systems | RESOURCE
tall grass | RESOURCE
tapeworm | ACTOR
taphonomy | QUALITY
targeting | PROCESS
taxa | RESOURCE
technical support | RESOURCE
technology | RESOURCE
tectonic dynamics | PROCESS
tectonic evolutionary process | PROCESS
tectonically active | QUALITY
tectonics | QUALITY
tectono - magmatic evolution | PROCESS
tectono - sedimentary coupling | PROCESS
temperate areas | LOCATION
temperate regions | LOCATION
temperature | QUALITY
temperatures | QUALITY
temporal and spatial patterns | QUALITY
temporal evolution | QUALITY
temporal variations | QUALITY
tensional deformation | PROCESS
terraces | RESOURCE
terrestrial SGD | PROCESS
terrestrial borrow pits | RESOURCE
terrestrial environment | RESOURCE
terrestrial sources | QUALITY
terrestrial vegetation | RESOURCE
territorial conflicts | PROCESS
thallus plants | RESOURCE
the area | LOCATION
theoretical or predictive modelling | PROCESS
thickness | QUALITY
thinlip mullet | ACTOR
thiols | RESOURCE
threat | PROCESS
threatened species red list | RESOURCE
threats | PROCESS
tidal currents | PROCESS
tidal effects | PROCESS
tidal flat deposits | RESOURCE
tidal flat | RESOURCE
tidal fluctuations | PROCESS
tidal level | QUALITY
tidal marshes | RESOURCE
tidal wetlands | RESOURCE
tide | PROCESS
tides | PROCESS
tills | RESOURCE
tires | RESOURCE
tissue - cultured seedling | RESOURCE
tissue - cultured seedlings | RESOURCE
topographic gradient | QUALITY
topography | QUALITY
total alkalinity ( TA ) | QUALITY
total dissolved nitrogen | QUALITY
total exposure | QUALITY
total nitrogen ( TN ) | QUALITY
total or relative cell abundance | QUALITY
total phosphorus ( TP ) | QUALITY
total salt content | QUALITY
tourism development ( TD ) | PROCESS
tourism development | PROCESS
tourism precincts | RESOURCE
tourism resorts | RESOURCE
tourism resources | RESOURCE
tourism | PROCESS
toxic contaminants | RESOURCE
toxic effects | PROCESS
toxic | QUALITY
traces | RESOURCE
trading | PROCESS
traditional local communities | ACTOR
transference potential | QUALITY
transformation | PROCESS
transition zone | LOCATION
transitory fishes | ACTOR
transplantation | PROCESS
transport | PROCESS
treatment | PROCESS
trees | RESOURCE
tributaries | RESOURCE
tritium | RESOURCE
trophic functional groups | QUALITY
trophic level | QUALITY
trophic levels | QUALITY
trophic status | QUALITY
trophic | QUALITY
tropical countries | LOCATION
tropical cyclones | PROCESS
tropical storms | PROCESS
tropical | QUALITY
tsunami hazard | PROCESS
tsunami mitigation | PROCESS
tsunami | PROCESS
tsunamis | PROCESS
tuned vibration system | RESOURCE
turbulence | PROCESS
types | QUALITY
typhoon intensification ( TI ) | PROCESS
typologies | QUALITY
ultrafraction | PROCESS
undersized fish | RESOURCE
undersized individuals | RESOURCE
undersized | QUALITY
undersized | RESOURCE
underwater | QUALITY
undeveloped open space | RESOURCE
undisturbed areas | LOCATION
undisturbed bottom | QUALITY
uninvaded lakes | LOCATION
uninvaded transects | LOCATION
uninvaded | QUALITY
unsustainable | QUALITY
uplift | PROCESS
upper and lower eulittoral | LOCATION
upper eulittoral | LOCATION
upstream | LOCATION
upwelling | PROCESS
urban areas | LOCATION
urban centres | LOCATION
urban effluents | RESOURCE
urban estuarine coastline | LOCATION
urban gardens | LOCATION
urban matrix | LOCATION
urban settings | QUALITY
urban sites | LOCATION
urban | QUALITY
urbanisation | PROCESS
urbanisation | QUALITY
urbanization | PROCESS
urbanized coastal areas | LOCATION
utilization | PROCESS
valve | RESOURCE
variability | QUALITY
variation | QUALITY
vegetated areas | RESOURCE
vegetation cover | QUALITY
vegetation coverage | QUALITY
vegetation degradation | PROCESS
vegetation growth | PROCESS
vegetation management | PROCESS
vegetation removal | PROCESS
vegetation structure | QUALITY
vegetation | RESOURCE
vegetative filter strips | RESOURCE
velocity | QUALITY
vertical distribution | QUALITY
viability | QUALITY
villages | RESOURCE
vimenes | RESOURCE
virgae | RESOURCE
vitamins | RESOURCE
volcanic activity | PROCESS
volume flux | QUALITY
volume | QUALITY
vulnerability | QUALITY
vulnerable locations | LOCATION
walleye | ACTOR
walleyes | ACTOR
warm - temperate littorals | LOCATION
warm current | PROCESS
warming | PROCESS
waste form | QUALITY
waste | RESOURCE
wastes | RESOURCE
wastewater | RESOURCE
wastewaters | RESOURCE
watching | PROCESS
water bodies | RESOURCE
water body | RESOURCE
water change detection ( WCD ) | PROCESS
water column | QUALITY
water demand | PROCESS
water discharges | PROCESS
water exchange | PROCESS
water executive commission | ACTOR
water flows | PROCESS
water levels | QUALITY
water mass | RESOURCE
water movements | PROCESS
water quality | QUALITY
water resources | RESOURCE
water supply | PROCESS
water table | RESOURCE
water | RESOURCE
waterborne industries | ACTOR
waters | LOCATION
waters | RESOURCE
waterways | LOCATION
waterways | RESOURCE
wave action | PROCESS
wave energy | QUALITY
wave exposure | QUALITY
wave forcing | PROCESS
wave height | QUALITY
wave heights | QUALITY
wave intensity | QUALITY
wave mitigation | PROCESS
wave rays | QUALITY
wave swells | PROCESS
wave transformation | PROCESS
wave | PROCESS
wavelengths | PROCESS
waves | PROCESS
well | RESOURCE
wells | RESOURCE
west - east gradient | QUALITY
wet weight | QUALITY
wetland vegetation | RESOURCE
wetlands | RESOURCE
whiting | RESOURCE
widespread | QUALITY
wildlife | RESOURCE
wind speed | QUALITY
wind speeds | QUALITY
wind | PROCESS
winds | PROCESS
young - of - the - year walleyes | ACTOR
zonation | PROCESS
zoobenthic communities | ACTOR
zoobenthivory | QUALITY
zoobenthos | ACTOR
zooplanktivory | QUALITY
zooplankton | RESOURCE
